Currency,Units per USD,USD per unit,Date
HKD,7.796,0.128,2022-01-11
INR,73.808,0.014,2022-01-11
MXN,20.355,0.049,2022-01-11
PEN,3.927,0.255,2022-01-11
PHP,51.072,0.02,2022-01-11
PLN,3.996,0.25,2022-01-11
SGD,1.351,0.74,2022-01-11
NZD,1.476,0.677,2022-01-11
AUD,1.374,0.728,2022-01-12
CAD,1.25,0.8,2022-01-12
CHF,0.913,1.095,2022-01-12
CNY,6.358,0.157,2022-01-12
EUR,0.875,1.143,2022-01-12
GBP,0.73,1.37,2022-01-12
HKD,7.792,0.128,2022-01-12
INR,73.784,0.014,2022-01-12
MXN,20.37,0.049,2022-01-12
PEN,3.896,0.257,2022-01-12
PHP,51.012,0.02,2022-01-12
PLN,3.96,0.253,2022-01-12
SGD,1.347,0.743,2022-01-12
NZD,1.461,0.685,2022-01-12
AUD,1.37,0.73,2022-01-13
CAD,1.248,0.801,2022-01-13
CHF,0.91,1.099,2022-01-13
CNY,6.36,0.157,2022-01-13
EUR,0.872,1.147,2022-01-13
GBP,0.729,1.372,2022-01-13
HKD,7.788,0.128,2022-01-13
INR,73.95,0.014,2022-01-13
MXN,20.36,0.049,2022-01-13
PEN,3.897,0.257,2022-01-13
PHP,51.171,0.02,2022-01-13
PLN,3.96,0.253,2022-01-13
SGD,1.345,0.743,2022-01-13
NZD,1.453,0.688,2022-01-13
AUD,1.384,0.722,2022-01-14
CAD,1.255,0.797,2022-01-14
CHF,0.914,1.095,2022-01-14
CNY,6.354,0.157,2022-01-14
EUR,0.876,1.141,2022-01-14
GBP,0.732,1.367,2022-01-14
HKD,7.785,0.128,2022-01-14
INR,74.092,0.013,2022-01-14
MXN,20.319,0.049,2022-01-14
PEN,3.872,0.258,2022-01-14
PHP,51.331,0.019,2022-01-14
PLN,3.973,0.252,2022-01-14
SGD,1.348,0.742,2022-01-14
NZD,1.469,0.681,2022-01-14
AUD,1.387,0.721,2022-01-15
CAD,1.256,0.796,2022-01-15
CHF,0.914,1.094,2022-01-15
CNY,6.353,0.157,2022-01-15
EUR,0.876,1.141,2022-01-15
GBP,0.731,1.368,2022-01-15
HKD,7.785,0.128,2022-01-15
INR,74.173,0.013,2022-01-15
MXN,20.305,0.049,2022-01-15
PEN,3.872,0.258,2022-01-15
PHP,51.335,0.019,2022-01-15
PLN,3.973,0.252,2022-01-15
SGD,1.348,0.742,2022-01-15
NZD,1.47,0.68,2022-01-15
AUD,1.387,0.721,2022-01-16
CAD,1.255,0.797,2022-01-16
CHF,0.914,1.094,2022-01-16
CNY,6.353,0.157,2022-01-16
EUR,0.876,1.142,2022-01-16
GBP,0.731,1.368,2022-01-16
HKD,7.785,0.128,2022-01-16
INR,74.175,0.013,2022-01-16
MXN,20.305,0.049,2022-01-16
PEN,3.872,0.258,2022-01-16
PHP,51.335,0.019,2022-01-16
PLN,3.973,0.252,2022-01-16
SGD,1.348,0.742,2022-01-16
NZD,1.471,0.68,2022-01-16
AUD,1.387,0.721,2022-01-17
CAD,1.251,0.799,2022-01-17
CHF,0.914,1.094,2022-01-17
CNY,6.349,0.158,2022-01-17
EUR,0.877,1.141,2022-01-17
GBP,0.733,1.365,2022-01-17
HKD,7.791,0.128,2022-01-17
INR,74.303,0.013,2022-01-17
MXN,20.294,0.049,2022-01-17
PEN,3.857,0.259,2022-01-17
PHP,51.223,0.02,2022-01-17
PLN,3.964,0.252,2022-01-17
SGD,1.348,0.742,2022-01-17
NZD,1.471,0.68,2022-01-17
AUD,1.391,0.719,2022-01-18
CAD,1.254,0.798,2022-01-18
CHF,0.917,1.091,2022-01-18
CNY,6.353,0.157,2022-01-18
EUR,0.882,1.134,2022-01-18
GBP,0.736,1.359,2022-01-18
HKD,7.792,0.128,2022-01-18
INR,74.57,0.013,2022-01-18
MXN,20.387,0.049,2022-01-18
PEN,3.845,0.26,2022-01-18
PHP,51.48,0.019,2022-01-18
PLN,3.998,0.25,2022-01-18
SGD,1.351,0.74,2022-01-18
NZD,1.477,0.677,2022-01-18
AUD,1.384,0.723,2022-01-19
CAD,1.25,0.8,2022-01-19
CHF,0.916,1.092,2022-01-19
CNY,6.345,0.158,2022-01-19
EUR,0.881,1.135,2022-01-19
GBP,0.734,1.362,2022-01-19
HKD,7.791,0.128,2022-01-19
INR,74.389,0.013,2022-01-19
MXN,20.476,0.049,2022-01-19
PEN,3.862,0.259,2022-01-19
PHP,51.478,0.019,2022-01-19
PLN,3.987,0.251,2022-01-19
SGD,1.347,0.742,2022-01-19
NZD,1.472,0.679,2022-01-19
AUD,1.376,0.727,2022-01-20
CAD,1.246,0.802,2022-01-20
CHF,0.916,1.092,2022-01-20
CNY,6.341,0.158,2022-01-20
EUR,0.882,1.134,2022-01-20
GBP,0.733,1.364,2022-01-20
HKD,7.787,0.128,2022-01-20
INR,74.33,0.013,2022-01-20
MXN,20.433,0.049,2022-01-20
PEN,3.852,0.26,2022-01-20
PHP,51.358,0.019,2022-01-20
PLN,3.986,0.251,2022-01-20
SGD,1.344,0.744,2022-01-20
NZD,1.472,0.679,2022-01-20
AUD,1.389,0.72,2022-01-21
CAD,1.254,0.797,2022-01-21
CHF,0.912,1.097,2022-01-21
CNY,6.339,0.158,2022-01-21
EUR,0.881,1.135,2022-01-21
GBP,0.737,1.356,2022-01-21
HKD,7.787,0.128,2022-01-21
INR,74.322,0.013,2022-01-21
MXN,20.47,0.049,2022-01-21
PEN,3.824,0.262,2022-01-21
PHP,51.251,0.02,2022-01-21
PLN,4.006,0.25,2022-01-21
SGD,1.344,0.744,2022-01-21
NZD,1.487,0.673,2022-01-21
AUD,1.392,0.718,2022-01-22
CAD,1.258,0.795,2022-01-22
CHF,0.912,1.097,2022-01-22
CNY,6.339,0.158,2022-01-22
EUR,0.881,1.135,2022-01-22
GBP,0.738,1.355,2022-01-22
HKD,7.787,0.128,2022-01-22
INR,74.411,0.013,2022-01-22
MXN,20.481,0.049,2022-01-22
PEN,3.803,0.263,2022-01-22
PHP,51.278,0.02,2022-01-22
PLN,3.992,0.25,2022-01-22
SGD,1.345,0.744,2022-01-22
NZD,1.49,0.671,2022-01-22
AUD,1.392,0.719,2022-01-23
CAD,1.259,0.794,2022-01-23
CHF,0.911,1.097,2022-01-23
CNY,6.339,0.158,2022-01-23
EUR,0.881,1.135,2022-01-23
GBP,0.738,1.355,2022-01-23
HKD,7.787,0.128,2022-01-23
INR,74.41,0.013,2022-01-23
MXN,20.47,0.049,2022-01-23
PEN,3.802,0.263,2022-01-23
PHP,51.278,0.02,2022-01-23
PLN,3.992,0.25,2022-01-23
SGD,1.345,0.744,2022-01-23
NZD,1.488,0.672,2022-01-23
AUD,1.408,0.71,2022-01-24
CAD,1.269,0.788,2022-01-24
CHF,0.914,1.094,2022-01-24
CNY,6.332,0.158,2022-01-24
EUR,0.884,1.131,2022-01-24
GBP,0.744,1.345,2022-01-24
HKD,7.786,0.128,2022-01-24
INR,74.73,0.013,2022-01-24
MXN,20.659,0.048,2022-01-24
PEN,3.837,0.261,2022-01-24
PHP,51.406,0.019,2022-01-24
PLN,4.043,0.247,2022-01-24
SGD,1.348,0.742,2022-01-24
NZD,1.499,0.667,2022-01-24
AUD,1.401,0.714,2022-01-25
CAD,1.264,0.791,2022-01-25
CHF,0.919,1.088,2022-01-25
CNY,6.325,0.158,2022-01-25
EUR,0.886,1.129,2022-01-25
GBP,0.741,1.349,2022-01-25
HKD,7.786,0.128,2022-01-25
INR,74.764,0.013,2022-01-25
MXN,20.676,0.048,2022-01-25
PEN,3.855,0.259,2022-01-25
PHP,51.179,0.02,2022-01-25
PLN,4.067,0.246,2022-01-25
SGD,1.345,0.744,2022-01-25
NZD,1.499,0.667,2022-01-25
AUD,1.395,0.717,2022-01-26
CAD,1.26,0.794,2022-01-26
CHF,0.921,1.085,2022-01-26
CNY,6.32,0.158,2022-01-26
EUR,0.886,1.128,2022-01-26
GBP,0.74,1.352,2022-01-26
HKD,7.785,0.128,2022-01-26
INR,74.908,0.013,2022-01-26
MXN,20.647,0.048,2022-01-26
PEN,3.849,0.26,2022-01-26
PHP,51.138,0.02,2022-01-26
PLN,4.064,0.246,2022-01-26
SGD,1.345,0.744,2022-01-26
NZD,1.495,0.669,2022-01-26
AUD,1.42,0.704,2022-01-27
CAD,1.271,0.787,2022-01-27
CHF,0.932,1.073,2022-01-27
CNY,6.368,0.157,2022-01-27
EUR,0.898,1.114,2022-01-27
GBP,0.747,1.338,2022-01-27
HKD,7.79,0.128,2022-01-27
INR,75.198,0.013,2022-01-27
MXN,20.757,0.048,2022-01-27
PEN,3.837,0.261,2022-01-27
PHP,51.258,0.02,2022-01-27
PLN,4.091,0.244,2022-01-27
SGD,1.353,0.739,2022-01-27
NZD,1.518,0.659,2022-01-27
AUD,1.429,0.7,2022-01-28
CAD,1.275,0.784,2022-01-28
CHF,0.93,1.075,2022-01-28
CNY,6.361,0.157,2022-01-28
EUR,0.896,1.116,2022-01-28
GBP,0.745,1.341,2022-01-28
HKD,7.793,0.128,2022-01-28
INR,74.984,0.013,2022-01-28
MXN,20.838,0.048,2022-01-28
PEN,3.847,0.26,2022-01-28
PHP,51.177,0.02,2022-01-28
PLN,4.114,0.243,2022-01-28
SGD,1.355,0.738,2022-01-28
NZD,1.526,0.655,2022-01-28
AUD,1.43,0.7,2022-01-29
CAD,1.277,0.783,2022-01-29
CHF,0.931,1.074,2022-01-29
CNY,6.361,0.157,2022-01-29
EUR,0.897,1.115,2022-01-29
GBP,0.746,1.34,2022-01-29
HKD,7.792,0.128,2022-01-29
INR,75.057,0.013,2022-01-29
MXN,20.804,0.048,2022-01-29
PEN,3.841,0.26,2022-01-29
PHP,51.147,0.02,2022-01-29
PLN,4.107,0.243,2022-01-29
SGD,1.355,0.738,2022-01-29
NZD,1.528,0.654,2022-01-29
AUD,1.429,0.7,2022-01-30
CAD,1.277,0.783,2022-01-30
CHF,0.931,1.074,2022-01-30
CNY,6.361,0.157,2022-01-30
EUR,0.897,1.115,2022-01-30
GBP,0.746,1.34,2022-01-30
HKD,7.792,0.128,2022-01-30
INR,75.057,0.013,2022-01-30
MXN,20.804,0.048,2022-01-30
PEN,3.841,0.26,2022-01-30
PHP,51.148,0.02,2022-01-30
PLN,4.108,0.243,2022-01-30
SGD,1.355,0.738,2022-01-30
NZD,1.529,0.654,2022-01-30
AUD,1.416,0.706,2022-01-31
CAD,1.27,0.788,2022-01-31
CHF,0.931,1.075,2022-01-31
CNY,6.361,0.157,2022-01-31
EUR,0.892,1.121,2022-01-31
GBP,0.744,1.344,2022-01-31
HKD,7.797,0.128,2022-01-31
INR,74.617,0.013,2022-01-31
MXN,20.636,0.048,2022-01-31
PEN,3.837,0.261,2022-01-31
PHP,51.138,0.02,2022-01-31
PLN,4.089,0.245,2022-01-31
SGD,1.351,0.74,2022-01-31
NZD,1.521,0.658,2022-01-31
AUD,1.407,0.711,2022-02-01
CAD,1.269,0.788,2022-02-01
CHF,0.923,1.083,2022-02-01
CNY,6.363,0.157,2022-02-01
EUR,0.89,1.124,2022-02-01
GBP,0.741,1.35,2022-02-01
HKD,7.794,0.128,2022-02-01
INR,74.822,0.013,2022-02-01
MXN,20.564,0.049,2022-02-01
PEN,3.879,0.258,2022-02-01
PHP,51.086,0.02,2022-02-01
PLN,4.066,0.246,2022-02-01
SGD,1.35,0.741,2022-02-01
NZD,1.511,0.662,2022-02-01
AUD,1.404,0.712,2022-02-02
CAD,1.269,0.788,2022-02-02
CHF,0.919,1.088,2022-02-02
CNY,6.362,0.157,2022-02-02
EUR,0.885,1.13,2022-02-02
GBP,0.737,1.357,2022-02-02
HKD,7.795,0.128,2022-02-02
INR,74.793,0.013,2022-02-02
MXN,20.597,0.049,2022-02-02
PEN,3.855,0.259,2022-02-02
PHP,51.004,0.02,2022-02-02
PLN,4.022,0.249,2022-02-02
SGD,1.348,0.742,2022-02-02
NZD,1.509,0.663,2022-02-02
AUD,1.4,0.714,2022-02-03
CAD,1.268,0.789,2022-02-03
CHF,0.921,1.085,2022-02-03
CNY,6.362,0.157,2022-02-03
EUR,0.875,1.143,2022-02-03
GBP,0.735,1.36,2022-02-03
HKD,7.793,0.128,2022-02-03
INR,74.713,0.013,2022-02-03
MXN,20.57,0.049,2022-02-03
PEN,3.857,0.259,2022-02-03
PHP,50.977,0.02,2022-02-03
PLN,3.969,0.252,2022-02-03
SGD,1.344,0.744,2022-02-03
NZD,1.501,0.666,2022-02-03
AUD,1.415,0.707,2022-02-04
CAD,1.276,0.784,2022-02-04
CHF,0.925,1.081,2022-02-04
CNY,6.362,0.157,2022-02-04
EUR,0.873,1.145,2022-02-04
GBP,0.738,1.354,2022-02-04
HKD,7.789,0.128,2022-02-04
INR,74.642,0.013,2022-02-04
MXN,20.715,0.048,2022-02-04
PEN,3.874,0.258,2022-02-04
PHP,51.278,0.02,2022-02-04
PLN,3.981,0.251,2022-02-04
SGD,1.345,0.743,2022-02-04
NZD,1.515,0.66,2022-02-04
AUD,1.414,0.707,2022-02-05
CAD,1.278,0.783,2022-02-05
CHF,0.925,1.081,2022-02-05
CNY,6.361,0.157,2022-02-05
EUR,0.873,1.145,2022-02-05
GBP,0.739,1.353,2022-02-05
HKD,7.788,0.128,2022-02-05
INR,74.654,0.013,2022-02-05
MXN,20.682,0.048,2022-02-05
PEN,3.834,0.261,2022-02-05
PHP,51.227,0.02,2022-02-05
PLN,3.987,0.251,2022-02-05
SGD,1.346,0.743,2022-02-05
NZD,1.511,0.662,2022-02-05
AUD,1.414,0.707,2022-02-06
CAD,1.276,0.784,2022-02-06
CHF,0.925,1.081,2022-02-06
CNY,6.361,0.157,2022-02-06
EUR,0.873,1.145,2022-02-06
GBP,0.739,1.354,2022-02-06
HKD,7.789,0.128,2022-02-06
INR,74.666,0.013,2022-02-06
MXN,20.682,0.048,2022-02-06
PEN,3.834,0.261,2022-02-06
PHP,51.216,0.02,2022-02-06
PLN,3.987,0.251,2022-02-06
SGD,1.346,0.743,2022-02-06
NZD,1.507,0.664,2022-02-06
AUD,1.406,0.711,2022-02-07
CAD,1.269,0.788,2022-02-07
CHF,0.924,1.082,2022-02-07
CNY,6.36,0.157,2022-02-07
EUR,0.875,1.143,2022-02-07
GBP,0.739,1.353,2022-02-07
HKD,7.792,0.128,2022-02-07
INR,74.681,0.013,2022-02-07
MXN,20.653,0.048,2022-02-07
PEN,3.837,0.261,2022-02-07
PHP,51.522,0.019,2022-02-07
PLN,3.97,0.252,2022-02-07
SGD,1.344,0.744,2022-02-07
NZD,1.51,0.662,2022-02-07
AUD,1.402,0.713,2022-02-08
CAD,1.271,0.787,2022-02-08
CHF,0.925,1.082,2022-02-08
CNY,6.366,0.157,2022-02-08
EUR,0.876,1.142,2022-02-08
GBP,0.738,1.355,2022-02-08
HKD,7.795,0.128,2022-02-08
INR,74.718,0.013,2022-02-08
MXN,20.637,0.048,2022-02-08
PEN,3.841,0.26,2022-02-08
PHP,51.473,0.019,2022-02-08
PLN,3.969,0.252,2022-02-08
SGD,1.345,0.744,2022-02-08
NZD,1.506,0.664,2022-02-08
AUD,1.392,0.718,2022-02-09
CAD,1.268,0.789,2022-02-09
CHF,0.923,1.083,2022-02-09
CNY,6.364,0.157,2022-02-09
EUR,0.875,1.143,2022-02-09
GBP,0.739,1.354,2022-02-09
HKD,7.791,0.128,2022-02-09
INR,74.827,0.013,2022-02-09
MXN,20.503,0.049,2022-02-09
PEN,3.837,0.261,2022-02-09
PHP,51.269,0.02,2022-02-09
PLN,3.931,0.254,2022-02-09
SGD,1.342,0.745,2022-02-09
NZD,1.496,0.669,2022-02-09
AUD,1.38,0.725,2022-02-10
CAD,1.265,0.791,2022-02-10
CHF,0.923,1.084,2022-02-10
CNY,6.354,0.157,2022-02-10
EUR,0.87,1.149,2022-02-10
GBP,0.733,1.364,2022-02-10
HKD,7.794,0.128,2022-02-10
INR,75.102,0.013,2022-02-10
MXN,20.426,0.049,2022-02-10
PEN,3.789,0.264,2022-02-10
PHP,51.209,0.02,2022-02-10
PLN,3.916,0.255,2022-02-10
SGD,1.341,0.746,2022-02-10
NZD,1.486,0.673,2022-02-10
AUD,1.393,0.718,2022-02-11
CAD,1.268,0.789,2022-02-11
CHF,0.926,1.08,2022-02-11
CNY,6.354,0.157,2022-02-11
EUR,0.877,1.14,2022-02-11
GBP,0.735,1.36,2022-02-11
HKD,7.799,0.128,2022-02-11
INR,75.365,0.013,2022-02-11
MXN,20.41,0.049,2022-02-11
PEN,3.731,0.268,2022-02-11
PHP,51.244,0.02,2022-02-11
PLN,3.969,0.252,2022-02-11
SGD,1.344,0.744,2022-02-11
NZD,1.497,0.668,2022-02-11
AUD,1.402,0.713,2022-02-12
CAD,1.273,0.786,2022-02-12
CHF,0.925,1.081,2022-02-12
CNY,6.355,0.157,2022-02-12
EUR,0.881,1.135,2022-02-12
GBP,0.737,1.356,2022-02-12
HKD,7.8,0.128,2022-02-12
INR,75.448,0.013,2022-02-12
MXN,20.543,0.049,2022-02-12
PEN,3.746,0.267,2022-02-12
PHP,51.278,0.02,2022-02-12
PLN,4.025,0.248,2022-02-12
SGD,1.347,0.742,2022-02-12
NZD,1.504,0.665,2022-02-12
AUD,1.401,0.714,2022-02-13
CAD,1.274,0.785,2022-02-13
CHF,0.926,1.08,2022-02-13
CNY,6.354,0.157,2022-02-13
EUR,0.881,1.135,2022-02-13
GBP,0.737,1.356,2022-02-13
HKD,7.8,0.128,2022-02-13
INR,75.345,0.013,2022-02-13
MXN,20.542,0.049,2022-02-13
PEN,3.746,0.267,2022-02-13
PHP,51.279,0.02,2022-02-13
PLN,4.023,0.249,2022-02-13
SGD,1.348,0.742,2022-02-13
NZD,1.504,0.665,2022-02-13
AUD,1.403,0.713,2022-02-14
CAD,1.274,0.785,2022-02-14
CHF,0.927,1.079,2022-02-14
CNY,6.358,0.157,2022-02-14
EUR,0.885,1.131,2022-02-14
GBP,0.74,1.351,2022-02-14
HKD,7.803,0.128,2022-02-14
INR,75.651,0.013,2022-02-14
MXN,20.403,0.049,2022-02-14
PEN,3.771,0.265,2022-02-14
PHP,51.341,0.019,2022-02-14
PLN,4.016,0.249,2022-02-14
SGD,1.348,0.742,2022-02-14
NZD,1.512,0.661,2022-02-14
AUD,1.398,0.715,2022-02-15
CAD,1.275,0.785,2022-02-15
CHF,0.926,1.08,2022-02-15
CNY,6.336,0.158,2022-02-15
EUR,0.88,1.136,2022-02-15
GBP,0.739,1.354,2022-02-15
HKD,7.801,0.128,2022-02-15
INR,75.232,0.013,2022-02-15
MXN,20.371,0.049,2022-02-15
PEN,3.803,0.263,2022-02-15
PHP,51.292,0.019,2022-02-15
PLN,3.955,0.253,2022-02-15
SGD,1.345,0.744,2022-02-15
NZD,1.506,0.664,2022-02-15
AUD,1.393,0.718,2022-02-16
CAD,1.269,0.788,2022-02-16
CHF,0.922,1.085,2022-02-16
CNY,6.337,0.158,2022-02-16
EUR,0.879,1.138,2022-02-16
GBP,0.736,1.358,2022-02-16
HKD,7.801,0.128,2022-02-16
INR,75.039,0.013,2022-02-16
MXN,20.315,0.049,2022-02-16
PEN,3.772,0.265,2022-02-16
PHP,51.326,0.019,2022-02-16
PLN,3.954,0.253,2022-02-16
SGD,1.344,0.744,2022-02-16
NZD,1.5,0.667,2022-02-16
AUD,1.39,0.719,2022-02-17
CAD,1.27,0.787,2022-02-17
CHF,0.92,1.087,2022-02-17
CNY,6.338,0.158,2022-02-17
EUR,0.88,1.136,2022-02-17
GBP,0.734,1.362,2022-02-17
HKD,7.8,0.128,2022-02-17
INR,75.054,0.013,2022-02-17
MXN,20.285,0.049,2022-02-17
PEN,3.745,0.267,2022-02-17
PHP,51.314,0.019,2022-02-17
PLN,3.982,0.251,2022-02-17
SGD,1.343,0.745,2022-02-17
NZD,1.493,0.67,2022-02-17
AUD,1.394,0.717,2022-02-18
CAD,1.275,0.784,2022-02-18
CHF,0.921,1.086,2022-02-18
CNY,6.326,0.158,2022-02-18
EUR,0.883,1.133,2022-02-18
GBP,0.736,1.358,2022-02-18
HKD,7.8,0.128,2022-02-18
INR,74.665,0.013,2022-02-18
MXN,20.303,0.049,2022-02-18
PEN,3.707,0.27,2022-02-18
PHP,51.429,0.019,2022-02-18
PLN,4.003,0.25,2022-02-18
SGD,1.346,0.743,2022-02-18
NZD,1.494,0.669,2022-02-18
AUD,1.393,0.718,2022-02-19
CAD,1.275,0.784,2022-02-19
CHF,0.921,1.085,2022-02-19
CNY,6.325,0.158,2022-02-19
EUR,0.883,1.132,2022-02-19
GBP,0.736,1.359,2022-02-19
HKD,7.8,0.128,2022-02-19
INR,74.687,0.013,2022-02-19
MXN,20.295,0.049,2022-02-19
PEN,3.724,0.269,2022-02-19
PHP,51.46,0.019,2022-02-19
PLN,3.998,0.25,2022-02-19
SGD,1.346,0.743,2022-02-19
NZD,1.492,0.67,2022-02-19
AUD,1.393,0.718,2022-02-20
CAD,1.275,0.784,2022-02-20
CHF,0.921,1.086,2022-02-20
CNY,6.326,0.158,2022-02-20
EUR,0.883,1.133,2022-02-20
GBP,0.736,1.359,2022-02-20
HKD,7.8,0.128,2022-02-20
INR,74.686,0.013,2022-02-20
MXN,20.296,0.049,2022-02-20
PEN,3.724,0.269,2022-02-20
PHP,51.46,0.019,2022-02-20
PLN,3.997,0.25,2022-02-20
SGD,1.346,0.743,2022-02-20
NZD,1.493,0.67,2022-02-20
AUD,1.387,0.721,2022-02-21
CAD,1.274,0.785,2022-02-21
CHF,0.915,1.093,2022-02-21
CNY,6.335,0.158,2022-02-21
EUR,0.881,1.135,2022-02-21
GBP,0.735,1.361,2022-02-21
HKD,7.802,0.128,2022-02-21
INR,74.488,0.013,2022-02-21
MXN,20.296,0.049,2022-02-21
PEN,3.745,0.267,2022-02-21
PHP,51.362,0.019,2022-02-21
PLN,3.992,0.25,2022-02-21
SGD,1.346,0.743,2022-02-21
NZD,1.487,0.673,2022-02-21
AUD,1.384,0.722,2022-02-22
CAD,1.274,0.785,2022-02-22
CHF,0.921,1.086,2022-02-22
CNY,6.325,0.158,2022-02-22
EUR,0.882,1.134,2022-02-22
GBP,0.736,1.36,2022-02-22
HKD,7.802,0.128,2022-02-22
INR,74.688,0.013,2022-02-22
MXN,20.282,0.049,2022-02-22
